МесяцДаты;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
3;181893914;37848058;0.20807764904107787;4137.756422870887;1970;9147;308190;3;48418;782
4;169018565;37746719;0.22332883372900486;4365.801411057137;1890;8646;301015;3;45510;829
