МесяцДаты;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
3;202290190;43176970;0.21344075063649898;4372.351392405063;1936;9875;340658;3;52807;818
4;191383570;43776323;0.22873605607837705;4622.143701826629;1835;9471;340158;3;50466;867
