Регион;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
Центральный ф.о.;234508505;51210444;0.2183735041933767;4584.230955151732;1729;11171;476695;4;54346;942
Уральский ф.о.;23701404;5616427;0.23696600420802075;1803.6053307642903;2577;3114;24449;3;4926;1140
Приволжский ф.о.;50741134;10880181;0.21442526294347303;2238.7203703703703;1846;4860;71191;2;12930;841
Южный ф.о.;26889833;6476144;0.24083987431234696;1831.4886877828055;2444;3536;28433;3;5458;1187
Сибирский ф.о.;24785015;5639939;0.2275543912319601;1818.1621534493875;2399;3102;32008;3;5100;1106
Северо-Западный ф.о.;29591001;6490853;0.21935226185825887;1850.3001710376284;1876;3508;38179;2;8173;794
Дальневосточный ф.о.;3331745;600923;0.1803628428946393;563.7176360225141;1808;1066;9731;5;505;1190
Северо-Кавказский ф.о.;125123;38383;0.3067621460482885;417.20652173913044;2047;92;130;3;35;1097
