Тип;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
КГТ;137612563;42177704;0.3064960282732326;10027.984783642416;5451;4206;27073;1;20747;2033
ОДЕЖДА;64144107;22329291;0.3481113393627882;4872.199650883701;1130;4583;82452;2;24639;906
ИГРУШКИ;62972747;13809313;0.21929030664646088;1679.3521829016174;1011;8223;113763;2;35147;393
ППКП;125427797;8560658;0.06825168108469608;1961.204581901489;1086;4365;442512;4;39728;215
ИНОЕ;3516545;76327;0.02170511112469768;80.51371308016877;918;948;15016;2;2144;36
