Тип;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
ОДЕЖДА;47737803;16635638;0.34847933827201893;4263.361865709892;1113;3902;63332;2;20139;826
ИГРУШКИ;56639500;12269803;0.21662979016410808;1621.0599815035011;1049;7569;97640;2;31925;384
КГТ;126467157;38724908;0.3062052545389314;9759.301411290322;5493;3968;24693;1;19215;2015
ППКП;116745136;7903382;0.06769774117184633;1882.2057632769706;1105;4199;409430;4;37149;213
ИНОЕ;3322884;61045;0.018371089691966377;65.85221143473571;939;927;14110;2;2005;30
