ДеньНеделиДаты;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
3;58107392;12119712;0.20857435831916188;2375.0170487948267;1742;5103;106373;3;17911;677
4;53771158;11534681;0.21451427547831498;2241.0493491354187;1811;5147;95658;3;16624;694
5;46961813;10178741;0.21674506050266842;2028.445795137505;1917;5018;82291;3;14265;714
1;51211102;10229524;0.19975207719607363;2092.7831423895254;1886;4888;98470;3;15214;672
2;52320158;10899688;0.2083267409093069;2242.272783377906;1778;4861;94966;3;16108;677
6;40961109;9432843;0.23028778346797202;2186.0586326767093;2304;4315;60026;3;11364;830
7;47579746;11199589;0.23538564077244128;2435.2226570993694;2295;4599;71421;3;13033;859
