Регион;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
Уральский ф.о.;21051897;4915832;0.23351016775352834;1670.915023793338;2593;2942;21893;3;4526;1086
Приволжский ф.о.;47316293;9959811;0.2104943216916845;2149.2902460077685;1858;4634;66361;2;12388;804
Центральный ф.о.;210761638;44858646;0.21284065936135874;4376.453268292683;1793;10250;428303;4;49784;901
Южный ф.о.;23296680;5524732;0.23714675224109186;1716.2882882882882;2514;3219;24182;3;4951;1116
Сибирский ф.о.;22008258;4874417;0.22148127307486126;1677.363041982106;2450;2906;28976;3;4686;1040
Северо-Западный ф.о.;23354747;4899206;0.20977345633416625;1545.0034689372437;1867;3171;30213;2;6852;715
Дальневосточный ф.о.;2998409;523978;0.17475201014938255;530.3421052631579;1771;988;9151;5;463;1132
Северо-Кавказский ф.о.;124556;38156;0.306336105847972;423.9555555555556;2099;90;126;3;35;1090
