ДеньНеделиДаты;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
3;65581256;14046755;0.21418856326874863;2547.4709829524845;1695;5514;120018;4;20059;700
4;60586602;13356847;0.2204587575319045;2414.0334357491415;1776;5533;107540;3;18522;721
5;52915234;11801305;0.22302282552506525;2197.226773412772;1875;5371;91663;3;15982;738
1;57446748;11847524;0.20623489427112568;2255.8118811881186;1855;5252;108873;3;16863;703
2;59400263;12804256;0.21555891090919918;2441.2308865586274;1726;5245;107607;3;18042;710
6;45374155;10605011;0.233723603227432;2265.060017086715;2253;4682;66664;3;12586;843
7;52369500;12491596;0.2385280745472078;2546.706625891947;2247;4905;78451;3;14388;868
